Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_robot,"0,087847","0,068109","0,042187",0,0,0,"5,7621","0,036816","-1,3844E-18","2,8055E-18","0,035512","2,7695E-19","0,036816",0,0,0,0,0,0,package://project_arm_1/meshes/base_robot.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://project_arm_1/meshes/base_robot.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0,"6,9389E-18","0,026561",0,0,0,"1,9626","0,0033715","1,9418E-21","4,9972E-20","0,0035217","-1,2708E-19","0,0050996",0,0,0,0,0,0,package://project_arm_1/meshes/link_1.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://project_arm_1/meshes/link_1.STL,,Part1-2,Origin_joint_link_1,Axis_joint_link_1,joint_link_1,continuous,"0,087847","-0,042187","0,1015",0,0,0,base_robot,0,0,1,0,0,"-1,5708","1,5708",,,,,,,,
link_2,"-0,048042","-6,9389E-18","-0,0015",0,0,0,"0,77538","0,00035874","-1,7326E-19","-3,7983E-21","0,0017431","4,4738E-21","0,0017248",0,0,0,0,0,0,package://project_arm_1/meshes/link_2.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://project_arm_1/meshes/link_2.STL,,Part2-1,Origin_joint_link_2,Axis_joint_link_2,joint_link_2,continuous,0,0,"0,086","3,1416","1,5708",0,link_1,0,0,1,0,0,"-1,5708","1,5708",,,,,,,,
link_3,"-0,053463","-6,9389E-18","-0,0015",0,0,0,"0,69186","0,00030281","-1,1004E-19","-2,672E-20","0,0014993","2,2966E-20","0,0014926",0,0,0,0,0,0,package://project_arm_1/meshes/link_3.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://project_arm_1/meshes/link_3.STL,,Part3-1,Origin_joint_link_3,Axis_joint_link_3,joint_link_3,continuous,"-0,125",0,0,0,0,0,link_2,0,0,1,0,0,"-1,5708","1,5708",,,,,,,,
link_4,"-0,041905","-2,0817E-17","-0,0015",0,0,0,"0,57994","0,00024652","2,9958E-20","-6,9768E-20","0,00088008","-2,5262E-20","0,00097842",0,0,0,0,0,0,package://project_arm_1/meshes/link_4.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://project_arm_1/meshes/link_4.STL,,Part4-1,Origin_joint_link_4,Axis_joint_link_4,joint_link_4,continuous,"-0,125",0,0,0,0,0,link_3,0,0,1,0,0,"-1,5708","1,5708",,,,,,,,
